m,P(m),Unnamed: 2,exp_m,exp_m1,exp_m2
0,0.865501,,1.0,1.0,1.0
1,0.09952,,0.8409694041432851,0.8409694041432851,0.8269591339433623
2,0.021041,,0.7072295387051121,0.7072295387051121,0.6838614092123558
3,0.0071,,0.5947584037573684,0.5947584037573684,0.5655254386995371
4,0.00303,,0.5001736204170455,0.5001736204170455,0.46766642700990924
5,0.001439,,0.4206307115303124,0.42063071153031245,0.38674102345450123
6,0.000787,,0.3537375588400129,0.35373755884001296,0.31981902181630384
7,0.000487,,0.2974824640807859,0.29748246408078594,0.26447726129982396
8,0.000315,,0.2501736505610947,0.25017365056109475,0.21871188695221475
9,0.000187,,0.2103883858447142,0.21038838584471428,0.1808657926171221
10,0.000157,,0.1769301954824969,0.17693019548249692,0.14956861922263506
11,0.000116,,0.1487928810698703,0.14879288106987038,0.12368713581745483
12,9.5e-05,,0.1251302605340916,0.12513026053409163,0.10228420671553744
13,6.3e-05,,0.105230720641649,0.10523072064164904,0.08458485900156469
14,5.4e-05,,0.0884958164355761,0.0884958164355761,0.06994822174465536
15,2.5e-05,,0.0744222740169999,0.07442227401699995,0.057844320874838456
16,1.5e-05,,0.0625868554350647,0.06258685543506474,0.04783488949419837
17,3e-06,,0.0526336305224283,0.052633630522428324,0.039557498788398725
18,2e-06,,0.0442632728983443,0.04426327289834437,0.03271243493901982
19,4e-06,,0.0372240582347522,0.037224058234752284,0.027051846866350416
20,1.1e-05,,0.0313042940734745,0.03130429407347458,0.0223707718561656
21,1.4e-05,,0.026325953534096,0.026325953534096082,0.018499714119819242
22,6e-06,,0.0221393214570725,0.022139321457072595,0.015298507566725518
23,1.1e-05,,0.0186184919738909,0.018618491973890986,0.012651240568005305
24,7e-06,,0.0156575821013296,0.015657582101329646,0.010462058943426795
25,7e-06,,0.0131675474900797,0.013167547490079751,0.008651695203120634
26,1e-06,,0.0110735045667607,0.011073504566760782,0.007154598372314579
27,1e-06,,0.0093124785372867,0.009312478537286758,0.005916560473681857
28,0.0,,0.0078315095265991,0.00783150952659918,0.004892753725239476
29,0.0,,0.0065860599001265,0.00658605990012657,0.004046107383222199
30,0.0,,0.0055386748698614,0.005538674869861427,0.003345965457471272
31,0.0,,0.0046578561050507,0.0046578561050507495,0.002766976696914851
32,0.0,,0.0039171144732496,0.003917114473249693,0.0022881766529221693
33,0.0,,0.0032941734245298,0.003294173424529834,0.001892228583209938
34,0.0,,0.0027702990619714,0.002770299061971498,0.0015647957103941666
35,0.0,,0.0023297367514448,0.0023297367514448736,0.001294022105465848
36,0.0,,0.0019592373276733,0.0019592373276733073,0.0010701033996396044
37,0.0,,0.0016476586480287,0.001647658648028704,0.0008849317805958146
38,0.0,,0.0013856305114642,0.0013856305114642294,0.0007318024188804728
39,0.0,,0.0011652728655888,0.0011652728655888289,0.0006051706945350532
40,0.0,,0.0009799588274385,0.0009799588274385753,0.0005004514334406108
41,0.0,,0.0008241153911959,0.0008241153911959714,0.00041385288397876164
42,0.0,,0.0006930558294793,0.000693055829479386,0.0003422394225150394
43,0.0,,0.0005828387479553,0.0005828387479553098,0.0002830180164443136
44,0.0,,0.0004901495545795,0.000490149554579595,0.00023404433376915794
45,0.0,,0.0004122007788558,0.00041220077885589877,0.00019354509955809383
46,0.0,,0.0003466482433818,0.000346648243381843,0.00016005388790954318
47,0.0,,0.0002915205666841,0.00029152056668414517,0.0001323580245299439
48,0.0,,0.0002451598772598,0.00024515987725987846,0.00010945467733573657
49,0.0,,0.000206171955899,0.00020617195589908097,9.051454517561092e-05
50,0.0,,0.0001733843069035,0.00017338430690350557,7.48518298877006e-05
51,0.0,,0.0001458108972644,0.0001458108972644376,6.189940441800879e-05
52,0.0,,0.00012262250339,0.00012262250339007191,5.118827786912642e-05
53,0.0,,0.0001031217736105,0.00010312177361050678,4.233061393470499e-05
54,0.0,,8.67222565074265e-05,8.67222565074265e-05,3.500568783873448e-05
55,0.0,,7.293076438101163e-05,7.293076438101163e-05,2.894827329821157e-05
56,0.0,,6.13325414652137e-05,6.13325414652137e-05,2.393903901584477e-05
57,0.0,,5.157879085059411e-05,5.157879085059411e-05,1.9796606971979363e-05
58,0.0,,4.33761850080552e-05,4.33761850080552e-05,1.637098495656519e-05
59,0.0,,3.647804446023309e-05,3.6478044460233094e-05,1.3538135541480944e-05
60,0.0,,3.06769193140345e-05,3.06769193140345e-05,1.119548484259094e-05
61,0.0,,2.579835055647524e-05,2.579835055647524e-05,9.258208449505048e-06
62,0.0,,2.169562349535854e-05,2.169562349535854e-05,7.656160041269817e-06
63,0.0,,1.824535556340873e-05,1.8245355563408735e-05,6.3313314770602575e-06
64,0.0,,1.5343785796542224e-05,1.5343785796542224e-05,5.235752394978102e-06
65,0.0,,1.290365439862032e-05,1.290365439862032e-05,4.329753266092978e-06
66,0.0,,1.0851578550878615e-05,1.0851578550878615e-05,3.580529011116689e-06
67,0.0,,9.12584554794643e-06,9.12584554794643e-06,2.960951170092142e-06
68,0.0,,7.674556892760164e-06,7.674556892760164e-06,2.4485856152679845e-06
69,0.0,,6.454067537168259e-06,6.454067537168259e-06,2.0248802397881886e-06
70,0.0,,5.427673331032913e-06,5.427673331032913e-06,1.674493209434266e-06
71,0.0,,4.564507207083142e-06,4.564507207083142e-06,1.3847374542678026e-06
72,0.0,,3.838610906148442e-06,3.838610906148442e-06,1.145121285920239e-06
73,0.0,,3.2281543264815725e-06,3.2281543264815725e-06,9.469685068647088e-07
74,0.0,,2.714779020423777e-06,2.714779020423777e-06,7.83104256308479e-07
75,0.0,,2.283046095186472e-06,2.2830460951864718e-06,6.475952175842209e-07
76,0.0,,1.919971914300622e-06,1.919971914300622e-06,5.355347802793109e-07
77,0.0,,1.6146376367412372e-06,1.6146376367412372e-06,4.428653780963272e-07
78,0.0,,1.3578608512776008e-06,1.3578608512776008e-06,3.6623156952403863e-07
79,0.0,,1.1419194310084162e-06,1.1419194310084162e-06,3.028585415563174e-07
80,0.0,,9.603193034747874e-07,9.603193034747874e-07,2.504516372327622e-07
81,0.0,,8.075991524304869e-07,8.075991524304869e-07,2.071132690207019e-07
82,0.0,,6.791661780060889e-07,6.791661780060889e-07,1.7127420957753834e-07
83,0.0,,5.711579760320532e-07,5.711579760320532e-07,1.416367720190751e-07
84,0.0,,4.803263827753598e-07,4.803263827753598e-07,1.1712782232342765e-07
85,0.0,,4.039397919168941e-07,4.0393979191689404e-07,9.685992250925397e-08
86,0.0,,3.397010061181131e-07,3.397010061181131e-07,8.009919763207375e-08
87,0.0,,2.856781527020242e-07,2.8567815270202416e-07,6.623876310337785e-08
88,0.0,,2.4024658585457535e-07,2.4024658585457535e-07,5.477675016944901e-08
89,0.0,,2.020400281535809e-07,2.020400281535809e-07,4.529813388035942e-08
90,0.0,,1.6990948208940953e-07,1.6990948208940953e-07,3.745970556295245e-08
91,0.0,,1.42888675911025e-07,1.4288867591102498e-07,3.0977645670112584e-08
92,0.0,,1.2016500463971748e-07,1.2016500463971748e-07,2.5617247034960616e-08
93,0.0,,1.0105509235073853e-07,1.0105509235073853e-07,2.118441642204417e-08
94,0.0,,8.498424079984511e-08,8.498424079984511e-08,1.751864665746923e-08
95,0.0,,7.146914634701512e-08,7.146914634701511e-08,1.4487204867720514e-08
96,0.0,,6.010336541807867e-08,6.010336541807867e-08,1.1980326390670204e-08
97,0.0,,5.0545091402647686e-08,5.054509140264768e-08,9.907240336387463e-09
98,0.0,,4.2506875399252594e-08,4.2506875399252594e-08,8.19288288834771e-09
99,0.0,,3.574698167650227e-08,3.574698167650227e-08,6.775179337847431e-09
100,0.0,,3.0062117880409006e-08,3.0062117880409006e-08,5.602796437537268e-09
101,0.0,,2.5281321361172813e-08,2.5281321361172813e-08,4.633283689646769e-09
102,0.0,,2.1260817761060386e-08,2.126081776106038e-08,3.831536267304207e-09
103,0.0,,1.7879697244117894e-08,1.7879697244117894e-08,3.168523913282466e-09
104,0.0,,1.5036278337648197e-08,1.5036278337648197e-08,2.620239791206898e-09
105,0.0,,1.2645050034144573e-08,1.2645050034144573e-08,2.1668312284603976e-09
106,0.0,,1.0634100192576611e-08,1.0634100192576611e-08,1.79188087608904e-09
107,0.0,,8.942952902551135e-09,8.942952902551135e-09,1.481812257420264e-09
108,0.0,,7.520749773739879e-09,7.520749773739879e-09,1.225398181062923e-09
109,0.0,,6.3247204559327865e-09,6.3247204559327865e-09,1.013354218547565e-09
110,0.0,,5.318896393198635e-09,5.318896393198635e-09,8.380025269479489e-10
111,0.0,,4.473029130488118e-09,4.473029130488118e-09,6.929938439272242e-10
112,0.0,,3.761680642582158e-09,3.761680642582158e-09,5.730775890021381e-10
113,0.0,,3.163458328569643e-09,3.163458328569643e-09,4.739117466835593e-10
114,0.0,,2.660371665609331e-09,2.660371665609331e-09,3.919056476030218e-10
115,0.0,,2.237291174427155e-09,2.237291174427155e-09,3.240899549293071e-10
116,0.0,,1.8814934258530326e-09,1.8814934258530326e-09,2.680091484480837e-10
117,0.0,,1.5822784052391363e-09,1.5822784052391365e-09,2.2163261328952504e-10
118,0.0,,1.330647727642742e-09,1.3306477276427422e-09,1.8328111393950954e-10
119,0.0,,1.1190340266403354e-09,1.1190340266403358e-09,1.5156599125159186e-10
120,0.0,,9.410733785997827e-10,9.410733785997829e-10,1.2533888086068347e-10
121,0.0,,7.914139184561663e-10,7.914139184561665e-10,1.0365013236598094e-10
122,0.0,,6.65554891434786e-10,6.655548914347862e-10,8.571442369448667e-11
123,0.0,,5.597113004745603e-10,5.597113004745603e-10,7.088232558484701e-11
124,0.0,,4.707000788523535e-10,4.707000788523535e-10,5.861678657753666e-11
125,0.0,,3.958443648426619e-10,3.9584436484266193e-10,4.8473687062702556e-11
126,0.0,,3.328929996352101e-10,3.328929996352101e-10,4.008575827241402e-11
127,0.0,,2.7995282754669407e-10,2.7995282754669407e-10,3.3149283944418546e-11
128,0.0,,2.3543176257017084e-10,2.3543176257017084e-10,2.7413103141518932e-11
129,0.0,,1.9799090908503968e-10,1.979909090850397e-10,2.2669516032610532e-11
130,0.0,,1.6650429683903348e-10,1.6650429683903353e-10,1.8746763345242814e-11
131,0.0,,1.4002501930001852e-10,1.4002501930001852e-10,1.550280718022315e-11
132,0.0,,1.1775675704588882e-10,1.1775675704588882e-10,1.2820187999448257e-11
133,0.0,,9.902982980672659e-11,9.902982980672659e-11,1.0601771565014841e-11
134,0.0,,8.328105696497368e-11,8.328105696497368e-11,8.767231831670027e-12
135,0.0,,7.003682085225706e-11,7.003682085225706e-11,7.2501424425985396e-12
136,0.0,,5.889882350021254e-11,5.889882350021254e-11,5.995571515297294e-12
137,0.0,,4.9532108503714185e-11,4.953210850371419e-11,4.9580926277857365e-12
138,0.0,,4.165498777432916e-11,4.165498777432916e-11,4.100139985484672e-12
139,0.0,,3.503057024817337e-11,3.503057024817337e-11,3.3906482114429497e-12
140,0.0,,2.945963778840592e-11,2.945963778840592e-11,2.8039275084414685e-12
141,0.0,,2.4774654037192697e-11,2.4774654037192697e-11,2.3187334640207317e-12
142,0.0,,2.0834726043513948e-11,2.0834726043513948e-11,1.9174978172520745e-12
143,0.0,,1.7521367146302545e-11,1.7521367146302545e-11,1.5856923342930612e-12
144,0.0,,1.4734933688801763e-11,1.4734933688801763e-11,1.3113027594676214e-12
145,0.0,,1.2391628404362463e-11,1.2391628404362465e-11,1.084393794306884e-12
146,0.0,,1.0420980355581695e-11,1.0420980355581695e-11,8.967493529935761e-13
147,0.0,,8.763725640222406e-12,8.763725640222406e-12,7.415750683158399e-13
148,0.0,,7.370025129733082e-12,7.370025129733082e-12,6.132522762484559e-13
149,0.0,,6.197965641872659e-12,6.197965641872659e-12,5.071345712552199e-13
150,0.0,,5.212299472746197e-12,5.212299472746197e-12,4.1937956583795446e-13
151,0.0,,4.383384381811738e-12,4.383384381811738e-12,3.4680976255889767e-13
152,0.0,,3.686292151703195e-12,3.686292151703195e-12,2.867975008888098e-13
153,0.0,,3.100058914315911e-12,3.100058914315911e-12,2.371698129521305e-13
154,0.0,,2.607054697981328e-12,2.6070546979813273e-12,1.9612974311640285e-13
155,0.0,,2.192453235930306e-12,2.192453235930306e-12,1.62191282508075e-13
156,0.0,,1.843786091432331e-12,1.843786091432331e-12,1.3412556251604073e-13
157,0.0,,1.5505676906795217e-12,1.5505676906795217e-12,1.109163590179312e-13
158,0.0,,1.3039799869145852e-12,1.3039799869145852e-12,9.172329619361964e-14
159,0.0,,1.0966072726103299e-12,1.0966072726103299e-12,7.58514175827061e-14
160,0.0,,9.222131646263009e-13,9.222131646263009e-13,6.27260225925711e-14
161,0.0,,7.755530555488755e-13,7.755530555488753e-13,5.1871857318864316e-14
162,0.0,,6.522163910064409e-13,6.522163910064409e-13,4.289590620444164e-14
163,0.0,,5.484940297171697e-13,5.484940297171697e-13,3.547316144454084e-14
164,0.0,,4.612666973473985e-13,4.612666973473985e-13,2.9334854866410523e-14
165,0.0,,3.8791117961938234e-13,3.8791117961938224e-13,2.4258726174681047e-14
166,0.0,,3.2622143358503153e-13,3.2622143358503143e-13,2.0060975187983458e-14
167,0.0,,2.743422446207719e-13,2.743422446207718e-13,1.6589606667514058e-14
168,0.0,,2.307134339900615e-13,2.3071343399006147e-13,1.3718926762228437e-14
169,0.0,,1.9402293911047362e-13,1.940229391104736e-13,1.134499179392487e-14
170,0.0,,1.6316735549386368e-13,1.6316735549386363e-13,9.381844588498685e-15
171,0.0,,1.372187537253099e-13,1.372187537253099e-13,7.758402075696056e-15
172,0.0,,1.153967735576583e-13,1.153967735576583e-13,6.415881461302009e-15
173,0.0,,9.704515589884141e-14,9.704515589884138e-14,5.305671776721595e-15
174,0.0,,8.161200693124103e-14,8.161200693124102e-14,4.387573737465409e-15
175,0.0,,6.863320083990332e-14,6.863320083990332e-14,3.628344178047045e-15
176,0.0,,5.771842201477983e-14,5.771842201477983e-14,3.0004923591262316e-15
177,0.0,,4.8539426969860184e-14,4.853942696986017e-14,2.4812845627066925e-15
178,0.0,,4.0820172976299757e-14,4.0820172976299757e-14,2.0519209330429657e-15
179,0.0,,3.432851654490471e-14,3.432851654490471e-14,1.6968547577094707e-15
180,0.0,,2.8869232103891385e-14,2.886923210389138e-14,1.403229540863091e-15
181,0.0,,2.42781409204837e-14,2.42781409204837e-14,1.1604134858358863e-15
182,0.0,,2.0417173703605928e-14,2.0417173703605928e-14,9.596145312630448e-16
183,0.0,,1.7170218403811403e-14,1.7170218403811403e-14,7.935620016927493e-16
184,0.0,,1.4439628340063327e-14,1.4439628340063327e-14,6.562433456501985e-16
185,0.0,,1.2143285641193532e-14,1.2143285641193532e-14,5.426864287749839e-16
186,0.0,,1.0212131690016293e-14,1.0212131690016293e-14,4.487794991425747e-16
187,0.0,,8.588090302385751e-15,8.58809030238575e-15,3.7112230594248036e-16
188,0.0,,7.222321184326061e-15,7.22232118432606e-15,3.069029807092578e-16
189,0.0,,6.073751142914103e-15,6.073751142914103e-15,2.53796223131963e-16
190,0.0,,5.107838879571063e-15,5.107838879571063e-15,2.0987910487930498e-16
191,0.0,,4.2955362190128055e-15,4.295536219012806e-15,1.7356144280379853e-16
192,0.0,,3.612414534579095e-15,3.612414534579095e-15,1.4352822042698897e-16
193,0.0,,3.03793009866352e-15,3.03793009866352e-15,1.1869197286073507e-16
194,0.0,,2.554806264902008e-15,2.554806264902008e-15,9.815341108294276e-17
195,0.0,,2.148513902296171e-15,2.148513902296171e-15,8.116885982273735e-17
196,0.0,,1.8068344562075853e-15,1.8068344562075853e-15,6.712333002218073e-17
197,0.0,,1.5194924960224477e-15,1.5194924960224477e-15,5.5508250862537194e-17
198,0.0,,1.277846698980189e-15,1.277846698980189e-15,4.5903055059994754e-17
199,0.0,,1.0746299770278321e-15,1.0746299770278321e-15,3.795995065776756e-17
200,0.0,,9.037309314556068e-16,9.037309314556068e-16,3.1391327920480296e-17
